Episode 1 done, steps = 1000, actions = [0:202/1000 | 1:198/1000 | 2:201/1000  | 3:200/1000 | 4:199/1000, ], loss = 33.02720260620117, rewards = -55.932203389831294, consume time = 38.47130298614502s
Episode 2 done, steps = 2000, actions = [0:206/1000 | 1:190/1000 | 2:217/1000  | 3:192/1000 | 4:195/1000, ], loss = 35.08387756347656, rewards = -50.75757575757647, consume time = 72.20936703681946s
Episode 3 done, steps = 3000, actions = [0:196/1000 | 1:205/1000 | 2:183/1000  | 3:203/1000 | 4:213/1000, ], loss = 36.8060302734375, rewards = -54.88721804511358, consume time = 106.41198301315308s
Episode 4 done, steps = 4000, actions = [0:217/1000 | 1:183/1000 | 2:210/1000  | 3:192/1000 | 4:198/1000, ], loss = 33.34414291381836, rewards = -56.37583892617534, consume time = 139.60421586036682s
Episode 5 done, steps = 5000, actions = [0:187/1000 | 1:193/1000 | 2:204/1000  | 3:217/1000 | 4:199/1000, ], loss = 32.45737838745117, rewards = -54.70383275261404, consume time = 173.14338493347168s
Episode 6 done, steps = 6000, actions = [0:187/1000 | 1:200/1000 | 2:210/1000  | 3:210/1000 | 4:193/1000, ], loss = 30.539518356323242, rewards = -56.52173913043563, consume time = 272.42978596687317s
Episode 7 done, steps = 7000, actions = [0:182/1000 | 1:194/1000 | 2:200/1000  | 3:191/1000 | 4:233/1000, ], loss = 31.30243682861328, rewards = -57.692307692308496, consume time = 413.4925012588501s
Episode 8 done, steps = 8000, actions = [0:180/1000 | 1:191/1000 | 2:195/1000  | 3:202/1000 | 4:232/1000, ], loss = 28.99284553527832, rewards = -55.55555555555635, consume time = 534.7615368366241s
Episode 9 done, steps = 9000, actions = [0:206/1000 | 1:186/1000 | 2:215/1000  | 3:198/1000 | 4:195/1000, ], loss = 31.170137405395508, rewards = -52.554744525548216, consume time = 695.5218091011047s
Episode 10 done, steps = 10000, actions = [0:202/1000 | 1:199/1000 | 2:196/1000  | 3:207/1000 | 4:196/1000, ], loss = 28.148801803588867, rewards = -61.19402985074716, consume time = 859.1998410224915s
Episode 11 done, steps = 11000, actions = [0:216/1000 | 1:202/1000 | 2:200/1000  | 3:196/1000 | 4:186/1000, ], loss = 27.14055824279785, rewards = -62.02531645569703, consume time = 1018.5736701488495s
Episode 12 done, steps = 12000, actions = [0:193/1000 | 1:199/1000 | 2:230/1000  | 3:186/1000 | 4:192/1000, ], loss = 28.11649513244629, rewards = -45.14767932489506, consume time = 1152.258915901184s
Episode 13 done, steps = 13000, actions = [0:179/1000 | 1:178/1000 | 2:234/1000  | 3:197/1000 | 4:212/1000, ], loss = 29.10942268371582, rewards = -66.46341463414714, consume time = 1192.5807020664215s
Episode 14 done, steps = 14000, actions = [0:193/1000 | 1:180/1000 | 2:233/1000  | 3:197/1000 | 4:197/1000, ], loss = 28.58396339416504, rewards = -55.97484276729643, consume time = 1233.0532310009003s
Episode 15 done, steps = 15000, actions = [0:200/1000 | 1:196/1000 | 2:207/1000  | 3:209/1000 | 4:188/1000, ], loss = 28.372892379760742, rewards = -54.39739413680862, consume time = 1267.6331119537354s
Episode 16 done, steps = 16000, actions = [0:193/1000 | 1:219/1000 | 2:215/1000  | 3:184/1000 | 4:189/1000, ], loss = 28.48037338256836, rewards = -55.32646048110041, consume time = 1305.2453520298004s
Episode 17 done, steps = 17000, actions = [0:225/1000 | 1:196/1000 | 2:210/1000  | 3:179/1000 | 4:190/1000, ], loss = 32.703277587890625, rewards = -54.545454545455335, consume time = 1411.3650798797607s
Episode 18 done, steps = 18000, actions = [0:202/1000 | 1:192/1000 | 2:205/1000  | 3:210/1000 | 4:191/1000, ], loss = 26.881567001342773, rewards = -50.57034220532392, consume time = 1577.2766559123993s
Episode 19 done, steps = 19000, actions = [0:192/1000 | 1:188/1000 | 2:196/1000  | 3:200/1000 | 4:224/1000, ], loss = 26.044706344604492, rewards = -65.31791907514534, consume time = 1742.7271089553833s
Episode 20 done, steps = 20000, actions = [0:195/1000 | 1:169/1000 | 2:225/1000  | 3:192/1000 | 4:219/1000, ], loss = 29.448707580566406, rewards = -45.701357466064074, consume time = 1906.1634981632233s
Episode 21 done, steps = 21000, actions = [0:197/1000 | 1:220/1000 | 2:195/1000  | 3:203/1000 | 4:185/1000, ], loss = 27.81951904296875, rewards = -56.95364238410681, consume time = 2075.5791461467743s
Episode 22 done, steps = 22000, actions = [0:199/1000 | 1:192/1000 | 2:191/1000  | 3:188/1000 | 4:230/1000, ], loss = 29.269773483276367, rewards = -54.3568464730298, consume time = 2206.522982120514s
Episode 23 done, steps = 23000, actions = [0:192/1000 | 1:175/1000 | 2:212/1000  | 3:195/1000 | 4:226/1000, ], loss = 29.65873146057129, rewards = -62.837837837838755, consume time = 2365.8757898807526s
Episode 24 done, steps = 24000, actions = [0:201/1000 | 1:190/1000 | 2:212/1000  | 3:199/1000 | 4:198/1000, ], loss = 27.753475189208984, rewards = -58.0645161290331, consume time = 2414.0812311172485s
