Episode 1 done, steps = 1000, actions = [0:180/1000 | 1:198/1000 | 2:174/1000 | 3:212/1000 | 4:236/1000 | ], p_loss = 145.59547424316406, v_loss = 0.3697684407234192, rewards = -60.52631578947455, consume time = 4.374488115310669s
Episode 2 done, steps = 2000, actions = [0:202/1000 | 1:189/1000 | 2:200/1000 | 3:205/1000 | 4:204/1000 | ], p_loss = 0.15793341398239136, v_loss = 0.34863120317459106, rewards = -53.40501792114773, consume time = 67.18527889251709s
Episode 3 done, steps = 3000, actions = [0:220/1000 | 1:190/1000 | 2:185/1000 | 3:193/1000 | 4:212/1000 | ], p_loss = 0.4617275893688202, v_loss = 0.02217479981482029, rewards = -62.45733788395992, consume time = 131.2386999130249s
Episode 4 done, steps = 4000, actions = [0:177/1000 | 1:206/1000 | 2:200/1000 | 3:198/1000 | 4:219/1000 | ], p_loss = 0.8663082122802734, v_loss = 0.016245920211076736, rewards = -53.84615384615468, consume time = 195.2361011505127s
Episode 5 done, steps = 5000, actions = [0:194/1000 | 1:188/1000 | 2:186/1000 | 3:201/1000 | 4:231/1000 | ], p_loss = 0.9296298027038574, v_loss = 0.7774134874343872, rewards = -61.2903225806461, consume time = 258.92402696609497s
Episode 6 done, steps = 6000, actions = [0:186/1000 | 1:193/1000 | 2:210/1000 | 3:215/1000 | 4:196/1000 | ], p_loss = 1.2140637636184692, v_loss = 0.009891686961054802, rewards = -56.95364238410675, consume time = 322.1277801990509s
Episode 7 done, steps = 7000, actions = [0:202/1000 | 1:199/1000 | 2:185/1000 | 3:199/1000 | 4:215/1000 | ], p_loss = 1.514918327331543, v_loss = 0.00777365593239665, rewards = -54.88721804511352, consume time = 385.0657739639282s
Episode 8 done, steps = 8000, actions = [0:193/1000 | 1:191/1000 | 2:207/1000 | 3:203/1000 | 4:206/1000 | ], p_loss = 1.8435579538345337, v_loss = 0.007400854956358671, rewards = -58.73015873015963, consume time = 448.007709980011s
Episode 9 done, steps = 9000, actions = [0:188/1000 | 1:211/1000 | 2:198/1000 | 3:196/1000 | 4:207/1000 | ], p_loss = 2.1983909606933594, v_loss = 0.3044901490211487, rewards = -59.11949685534674, consume time = 511.4014699459076s
Episode 10 done, steps = 10000, actions = [0:208/1000 | 1:186/1000 | 2:200/1000 | 3:211/1000 | 4:195/1000 | ], p_loss = 2.546952962875366, v_loss = 0.31996044516563416, rewards = -56.953642384106786, consume time = 575.0882260799408s
Episode 11 done, steps = 11000, actions = [0:190/1000 | 1:211/1000 | 2:203/1000 | 3:190/1000 | 4:206/1000 | ], p_loss = 2.901434898376465, v_loss = 0.3351059556007385, rewards = -63.69636963696459, consume time = 638.8228170871735s
